time;iter;L;U
2;0;0.00;inf
6;1;0.00;1299.00
8;2;0.00;1299.00
10;3;-0.00;1299.00
14;4;-0.00;1299.00
16;5;-0.00;1299.00
22;6;-0.00;1299.00
27;7;-0.00;1299.00
32;8;-0.00;543.00
37;9;-0.00;523.00
40;10;-0.00;523.00
42;11;-0.00;523.00
44;12;-0.00;523.00
47;13;-0.00;438.00
51;14;-0.00;310.00
55;15;-0.00;310.00
59;16;-0.00;310.00
62;17;-0.00;310.00
65;18;-0.00;310.00
69;19;-0.00;310.00
72;20;-0.00;231.00
75;21;-0.00;231.00
78;22;-0.00;231.00
81;23;-0.00;231.00
86;24;-0.00;231.00
91;25;-0.00;231.00
94;26;-0.00;231.00
96;27;-0.00;231.00
98;28;-0.00;231.00
100;29;-0.00;231.00
101;30;-0.00;231.00
104;31;-0.00;75.00
106;32;-0.00;75.00
109;33;-0.00;75.00
110;34;-0.00;75.00
113;35;-0.00;75.00
115;36;-0.00;75.00
117;37;-0.00;75.00
121;38;-0.00;75.00
124;39;-0.00;75.00
125;40;-0.00;75.00
129;41;-0.00;75.00
130;42;-0.00;75.00
132;43;-0.00;75.00
134;44;-0.00;75.00
138;45;-0.00;75.00
141;46;-0.00;75.00
143;47;-0.00;75.00
146;48;-0.00;75.00
148;49;-0.00;75.00
152;50;-0.00;75.00
155;51;-0.00;75.00
157;52;-0.00;75.00
160;53;-0.00;75.00
161;54;-0.00;75.00
163;55;-0.00;75.00
165;56;-0.00;75.00
169;57;-0.00;75.00
171;58;-0.00;75.00
172;59;-0.00;75.00
174;60;-0.00;75.00
176;61;-0.00;75.00
178;62;-0.00;75.00
180;63;-0.00;75.00
182;64;-0.00;75.00
185;65;-0.00;75.00
187;66;-0.00;75.00
190;67;-0.00;75.00
193;68;-0.00;75.00
196;69;-0.00;75.00
199;70;-0.00;75.00
201;71;-0.00;51.00
204;72;-0.00;51.00
207;73;-0.00;51.00
209;74;-0.00;51.00
212;75;-0.00;51.00
213;76;-0.00;51.00
214;77;-0.00;51.00
217;78;-0.00;51.00
219;79;-0.00;51.00
222;80;-0.00;51.00
225;81;-0.00;51.00
228;82;-0.00;51.00
230;83;-0.00;51.00
232;84;-0.00;51.00
235;85;-0.00;51.00
238;86;-0.00;51.00
241;87;-0.00;51.00
244;88;-0.00;51.00
246;89;-0.00;51.00
248;90;-0.00;51.00
250;91;-0.00;51.00
252;92;-0.00;51.00
255;93;-0.00;51.00
257;94;-0.00;51.00
260;95;-0.00;51.00
262;96;-0.00;51.00
264;97;-0.00;51.00
265;98;-0.00;51.00
268;99;-0.00;51.00
270;100;-0.00;51.00
274;101;-0.00;51.00
277;102;-0.00;51.00
279;103;-0.00;50.00
281;104;-0.00;50.00
284;105;-0.00;50.00
287;106;-0.00;50.00
289;107;-0.00;50.00
291;108;-0.00;50.00
294;109;-0.00;50.00
295;110;-0.00;50.00
297;111;-0.00;50.00
299;112;-0.00;50.00
301;113;-0.00;50.00
304;114;-0.00;50.00
305;115;-0.00;50.00
307;116;-0.00;50.00
310;117;-0.00;50.00
312;118;-0.00;50.00
314;119;-0.00;50.00
317;120;-0.00;50.00
320;121;-0.00;50.00
322;122;-0.00;50.00
324;123;-0.00;50.00
326;124;-0.00;50.00
328;125;-0.00;50.00
330;126;-0.00;50.00
333;127;-0.00;50.00
336;128;-0.00;50.00
338;129;-0.00;50.00
340;130;-0.00;50.00
344;131;-0.00;50.00
346;132;-0.00;50.00
348;133;-0.00;50.00
350;134;-0.00;50.00
352;135;-0.00;50.00
354;136;-0.00;50.00
356;137;-0.00;50.00
359;138;-0.00;50.00
361;139;-0.00;50.00
364;140;-0.00;50.00
366;141;-0.00;50.00
368;142;-0.00;50.00
371;143;-0.00;50.00
374;144;-0.00;50.00
376;145;-0.00;50.00
378;146;-0.00;50.00
381;147;-0.00;50.00
383;148;-0.00;50.00
386;149;-0.00;50.00
388;150;-0.00;50.00
390;151;-0.00;50.00
392;152;-0.00;50.00
394;153;-0.00;50.00
396;154;-0.00;50.00
398;155;-0.00;50.00
400;156;-0.00;50.00
404;157;-0.00;50.00
405;158;-0.00;50.00
408;159;-0.00;50.00
411;160;-0.00;50.00
413;161;-0.00;50.00
415;162;-0.00;50.00
418;163;-0.00;50.00
420;164;-0.00;50.00
424;165;-0.00;50.00
426;166;-0.00;50.00
429;167;-0.00;50.00
432;168;-0.00;50.00
435;169;-0.00;50.00
437;170;-0.00;50.00
438;171;-0.00;50.00
440;172;-0.00;50.00
444;173;-0.00;50.00
446;174;-0.00;50.00
448;175;-0.00;50.00
451;176;-0.00;50.00
453;177;-0.00;50.00
456;178;-0.00;50.00
458;179;-0.00;50.00
461;180;-0.00;50.00
464;181;-0.00;50.00
466;182;-0.00;50.00
467;183;-0.00;50.00
470;184;-0.00;50.00
474;185;-0.00;50.00
475;186;-0.00;50.00
477;187;-0.00;50.00
480;188;-0.00;50.00
482;189;-0.00;50.00
484;190;-0.00;50.00
487;191;-0.00;50.00
489;192;-0.00;50.00
491;193;-0.00;50.00
493;194;-0.00;50.00
496;195;-0.00;50.00
499;196;-0.00;50.00
501;197;-0.00;50.00
504;198;-0.00;50.00
506;199;-0.00;50.00
508;200;-0.00;50.00
510;201;-0.00;50.00
512;202;-0.00;50.00
514;203;-0.00;50.00
516;204;-0.00;50.00
517;205;-0.00;50.00
521;206;-0.00;50.00
524;207;-0.00;50.00
525;208;-0.00;50.00
527;209;-0.00;50.00
529;210;-0.00;50.00
534;211;-0.00;50.00
537;212;-0.00;50.00
544;213;-0.00;50.00
548;214;-0.00;50.00
550;215;-0.00;50.00
553;216;-0.00;50.00
556;217;-0.00;50.00
558;218;-0.00;50.00
560;219;-0.00;50.00
562;220;-0.00;50.00
565;221;-0.00;50.00
567;222;-0.00;50.00
570;223;-0.00;50.00
572;224;-0.00;50.00
573;225;-0.00;50.00
575;226;-0.00;50.00
578;227;-0.00;50.00
579;228;-0.00;50.00
581;229;-0.00;50.00
583;230;-0.00;50.00
585;231;-0.00;50.00
587;232;-0.00;50.00
590;233;-0.00;50.00
592;234;-0.00;50.00
594;235;-0.00;50.00
